path,title,module,module_title,order,tags,status,has_frontmatter,in_mkdocs_nav,size_bytes,word_count
00_INDICE.md,ğŸ“š GuÃ­a MLOps â€” Portfolio Edition,01,IntroducciÃ³n y Setup,,,unknown,no,no,11504,1007
01_PYTHON_MODERNO.md,01. Python Moderno para MLOps,02,Python Moderno para ML,,,unknown,no,no,39654,1191
02_DISENO_SISTEMAS.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,03,Entornos y Reproducibilidad,,,unknown,no,no,40086,1537
03_ESTRUCTURA_PROYECTO.md,03. Estructura de Proyecto ML Profesional,03,Entornos y Reproducibilidad,,,unknown,no,no,11940,689
04_ENTORNOS.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,03,Entornos y Reproducibilidad,,,unknown,no,no,33085,1355
05_GIT_PROFESIONAL.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,04,Git Profesional,,,unknown,no,no,37512,1106
06_VERSIONADO_DATOS.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,06,Versionado de Datos (DVC),,,unknown,no,no,35020,673
07_SKLEARN_PIPELINES.md,07. sklearn Pipelines: El CorazÃ³n de MLOps,10,Sklearn Pipelines,,,unknown,no,no,37155,987
08_INGENIERIA_FEATURES.md,08. IngenierÃ­a de Features para ML,09,Feature Engineering,,,unknown,no,no,19232,347
09_TRAINING_PROFESIONAL.md,09. Training Profesional,11,Training Profesional,,,unknown,no,no,21662,698
10_EXPERIMENT_TRACKING.md,10. Experiment Tracking con MLflow,13,MLflow & DVC,,,unknown,no,no,16584,609
11_TESTING_ML.md,11. Testing para Machine Learning,19,Testing para ML,,,unknown,no,no,47057,829
12_CI_CD.md,13. CI/CD con GitHub Actions,20,CI/CD con GitHub Actions,,,unknown,no,no,31531,691
13_DOCKER.md,14. Docker Avanzado para ML,15,Docker para ML,,,unknown,no,no,17149,540
14_FASTAPI.md,15. FastAPI para ProducciÃ³n,16,APIs con FastAPI,,,unknown,no,no,18935,588
15_STREAMLIT.md,16. Streamlit Dashboards para ML,17,Dashboards con Streamlit,,,unknown,no,no,19714,819
16_OBSERVABILIDAD.md,17. Observabilidad para ML,22,Observabilidad y Monitoring,,,unknown,no,no,18141,619
17_DESPLIEGUE.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,18,Infraestructura y Despliegue,,,unknown,no,no,21587,669
18_INFRAESTRUCTURA.md,18. Infraestructura como CÃ³digo,18,Infraestructura y Despliegue,,,unknown,no,no,8353,522
19_DOCUMENTACION.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,27,Model Cards y Dataset Cards,,,unknown,no,no,15162,603
20_PROYECTO_INTEGRADOR.md,20. Proyecto Integrador,28,Proyecto Integrador,,,unknown,no,no,9240,1035
21_GLOSARIO.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,yes,31575,3407
22_CHECKLIST.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,28,Proyecto Integrador,,,unknown,no,no,8593,452
23_RECURSOS.md,â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•â•,APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,yes,15277,1177
24_SPEECH_PORTAFOLIO_MLOPS.md,Speech de entrevista â€“ Portafolio ML/MLOps (5â€“7 minutos),31,Speech y Pitch de Portafolio,,,unknown,no,no,7804,1126
25_TALKING_POINTS_PORTAFOLIO_MLOPS.md,Talking Points â€“ Portafolio ML/MLOps,31,Speech y Pitch de Portafolio,,,unknown,no,no,6238,843
DECISIONES_TECH.md,âš–ï¸ Decisiones TÃ©cnicas â€” ADRs del Portafolio,APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,no,5082,752
EJERCICIOS.md,ğŸ”§ Ejercicios PrÃ¡cticos â€” GuÃ­a MLOps,APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,yes,7482,314
EJERCICIOS_SOLUCIONES.md,âœ… Soluciones â€” Ejercicios GuÃ­a MLOps,APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,no,10780,157
GUIA_AUDIOVISUAL.md,ğŸ¬ GuÃ­a de Material Audiovisual â€” ML-MLOps Portfolio,APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,no,43285,1536
MAINTENANCE_GUIDE.md,ğŸ”§ GuÃ­a de Mantenimiento â€” guia_mlops v2,25,Mantenimiento y Runbooks,,,unknown,no,no,4385,464
PLANTILLAS.md,ğŸ“‹ Plantillas Reutilizables â€” GuÃ­a MLOps,APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,no,5194,515
PLAN_ESTUDIOS.md,ğŸ“… Plan de Estudios â€” 8 Semanas,01,IntroducciÃ³n y Setup,,,unknown,no,no,7324,813
RUBRICA_EVALUACION.md,ğŸ“Š RÃºbrica de EvaluaciÃ³n â€” Portfolio MLOps,28,Proyecto Integrador,,,unknown,no,yes,4043,611
SIMULACRO_ENTREVISTA_LEAD_SENIOR.md,ğŸ¯ Simulacro de Entrevista Lead/Senior ML Engineer,30,Simulacros de Entrevista,,,unknown,no,no,25818,1697
SIMULACRO_ENTREVISTA_PARTE2.md,ğŸ¯ Simulacro Entrevista Lead/Senior ML Engineer - Parte 2,30,Simulacros de Entrevista,,,unknown,no,no,29943,2381
SYLLABUS.md,ğŸ“… SYLLABUS â€” GuÃ­a MLOps v2 (Portfolio Edition),01,IntroducciÃ³n y Setup,,,unknown,no,yes,8200,1204
SYLLABUS_v3.md,SYLLABUS â€” GuÃ­a MLOps v3,01,IntroducciÃ³n y Setup,0,"syllabus,overview,roadmap",ready,yes,no,7383,1109
docs/00_introduccion/index.md,00 â€” IntroducciÃ³n a la GuÃ­a MLOps v2,01,IntroducciÃ³n y Setup,,,unknown,no,yes,9626,911
docs/01_python_moderno/index.md,01 â€” Python Moderno para ML/MLOps,02,Python Moderno para ML,,,unknown,no,yes,15692,398
docs/02_ingenieria_datos/index.md,02 â€” IngenierÃ­a de Datos,05,IngenierÃ­a de Datos,,,unknown,no,yes,17340,398
docs/03_feature_engineering/index.md,03 â€” Feature Engineering,09,Feature Engineering,,,unknown,no,yes,8873,223
docs/04_modelado/index.md,04 â€” Modelado,11,Training Profesional,,,unknown,no,yes,10223,170
docs/05_mlflow_dvc/index.md,05 â€” MLflow & DVC,13,MLflow & DVC,,,unknown,no,yes,7270,188
docs/06_despliegue_api/index.md,06 â€” Despliegue API,16,APIs con FastAPI,,,unknown,no,yes,8478,165
docs/07_dashboard/index.md,07 â€” Dashboard,17,Dashboards con Streamlit,,,unknown,no,yes,7779,147
docs/07_data_lineage_governance/index.md,Data Lineage & Governance,07,Data Lineage & Governance,1,"data-lineage,governance,contracts,staff-level",ready,yes,no,12901,219
docs/08_ci_cd_testing/index.md,08 â€” CI/CD & Testing,20,CI/CD con GitHub Actions,,,unknown,no,yes,5844,175
docs/09_modelcards_datasetcards/index.md,09 â€” Model Cards & Dataset Cards,27,Model Cards y Dataset Cards,,,unknown,no,yes,5415,252
docs/10_observabilidad_monitoring/index.md,10 â€” Observabilidad & Monitoring,22,Observabilidad y Monitoring,,,unknown,no,yes,10269,156
docs/11_mantenimiento_auditoria/index.md,11 â€” Mantenimiento & AuditorÃ­a,25,Mantenimiento y Runbooks,,,unknown,no,yes,8174,208
docs/21_seguridad_adversarial/index.md,Seguridad y Testing Adversarial para ML,21,Seguridad y Testing Adversarial,1,"security,adversarial,testing,staff-level",ready,yes,no,14135,202
docs/23_performance_optimization/index.md,Performance y OptimizaciÃ³n de Costos,23,Performance y OptimizaciÃ³n de Costos,1,"performance,optimization,cost,staff-level",ready,yes,no,12509,196
docs/24_model_risk_management/index.md,Model Risk Management,24,Model Risk Management,1,"risk,fairness,governance,staff-level",ready,yes,no,15593,187
docs/26_oncall_incidentes/index.md,On-call y GestiÃ³n de Incidentes,26,On-call y GestiÃ³n de Incidentes,1,"oncall,incidents,runbooks,staff-level",ready,yes,no,17416,226
index.md,ğŸ“š GuÃ­a MLOps v2 â€” Portfolio Edition,01,IntroducciÃ³n y Setup,,,unknown,no,yes,2443,273
reports/inconsistencies.md,Reporte de Inconsistencias,,,,,unknown,no,no,836,90
reports/orphans_report.md,Archivos sin MÃ³dulo Asignado,,,,,unknown,no,no,391,50
templates/README_TEMPLATE.md,ğŸš€ [Nombre del Proyecto],APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,no,640,39
templates/dataset_card_template.md,Dataset Card â€” {dataset_name},APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,no,6308,903
templates/index.md,ğŸ“ Plantillas â€” GuÃ­a MLOps v2,APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,yes,3152,370
templates/model_card_template.md,Model Card â€” {model_name},APENDICE,ApÃ©ndice y Material Complementario,,,unknown,no,no,5912,839
